NULL,Tomás Rodríguez,"C/ Torrents, 7, 08105 Sant Fost de Campsentelles, Barcelona",600147523,guillem@mail.com,2025-04-04 10:25:53,NULL
NULL,Marina Castro,"Miribilla, Ibaiondo, 48003 Bilbao, Vizcaya",665422647,marina@mail.com,NULL,NULL
NULL,Roger Díaz,"P.º San Roque, 17, 05003 Ávila",719893485,roger@gmail.com,NULL,NULL
NULL,Marta Hernández,"Passeig de Vilanova, 52-58, 08870 Sitges, Barcelona",779347007,marta@mail.com,NULL,NULL
NULL,Sara Perez,"C. Grimaldo, 10829 Grimaldo, Cáceres",686843402,sara@gmail.com,NULL,NULL
NULL,Francisco Olivares,"Plaza San Juan de la Cruz, 1, 47400 Medina del Campo, Valladolid",620741740,paco@mail.com,2025-01-10 14:02:00,NULL
NULL,Isabel Navarro,"Venta de Baños, 34200, Palencia",797548912,isabel@mail.com,NULL,NULL
NULL,Ignacio Cruz,"Travessia Sant Nicasi, 25-5, 08850 Gavà, Barcelona",666401780,ignacio@mail.com,NULL,NULL
NULL,David Ruiz,"C. Francisco Sarmiento, 13, 09006 Burgos",639078363,david@mail.com,NULL,NULL
NULL,Mercedes Alonso,"Carrer Alcalde Güell, 29-153, 08860 Rat-Penat, Barcelona",667095973,merce@mail.com,2024-12-02 11:45:13,NULL
